electorate,Major Cities of Australia,Inner Regional Australia,Outer Regional Australia,Remote Australia,Very Remote Australia,remoteness_index
Banks,99.97764487621185,,,,,0.9997764487621186
Barton,99.99984516855905,,,,,0.9999984516855904
Bennelong,99.99577041463881,,,,,0.9999577041463881
Berowra,25.695845675632373,74.2920910372144,,,,18.829981216059924
Blaxland,100.0,,,,,1.0
Bradfield,99.99468739717527,,,,,0.9999468739717527
Calare,,30.035462686437015,69.96453731356328,,,42.4911343283909
Chifley,100.0,,,,,1.0
Cook,99.91973783607872,,,,,0.9991973783607873
Cowper,,11.514345778164023,88.48449208277007,,,47.120832485926044
Cunningham,29.385532576817358,70.56726762704427,,,,17.935672232529242
Dobell,35.1735621832223,64.82104931575064,,,,16.556997950769883
Eden-Monaro,0.35983646536747416,26.208668914634167,73.43081477174877,0.00029980172981196475,,43.27139783048396
Farrer,,4.585381978714711,39.37060259006825,56.043671625493985,0.000343805724252872,62.86474431455754
Fowler,100.0,,,,,1.0
Gilmore,7.645067534750607e-05,97.81932679398584,2.1782174865922483,,,25.543941206299337
Grayndler,99.95831824852506,,,,,0.9995831824852506
Greenway,100.0,,,,,1.0
Hughes,52.25070869420042,47.73424847855938,,,,12.45606920658185
Hume,1.7779411005891852,71.16859503819867,27.053463861211714,,,31.33666010116142
Hunter,3.1991737725631624,58.45027160464322,38.35012336610884,,,33.81962132194086
Kingsford Smith,99.00002210004999,,,,,0.9900002210004999
Lindsay,99.99887494316295,0.0011250568370548097,,,,1.000270013640893
Lyne,0.31053064078995457,55.03490628149245,44.65403175854482,,,36.08884775605342
Macarthur,96.57504324907414,3.4249567509257623,,,,1.821989620222182
Mackellar,78.53514396924894,21.42874122759388,,,,6.142536746590959
Macquarie,9.047594672688044,65.53557648144509,25.416828845867194,,,29.18278449002175
McMahon,100.0,,,,,1.0
Mitchell,98.94559981187695,1.0544001881231022,,,,1.253056045149545
New England,,2.4746344870438777,97.52536551295618,,,49.381341378239064
Newcastle,99.97051450047066,7.096442969440857e-05,,,,0.9997228861121301
North Sydney,99.92535094426917,,,,,0.9992535094426916
Page,,34.248992290471236,65.75063720733446,,,41.437566676285044
Parkes,,0.059973199105789465,14.27633522098297,37.27245769695432,48.39123388295543,83.49873806593911
Parramatta,100.0,,,,,1.0
Paterson,42.10392106055879,57.88906804774333,,,,14.89330622254142
Reid,99.94610315303201,,,,,0.9994610315303202
Richmond,10.036059976232364,89.95779163410158,,,,22.58980850828772
Riverina,,19.257529711384738,78.60709234207516,2.1353779465387706,,45.71946205878784
Robertson,23.8774258025452,76.11309465435825,,,,19.267047921615013
Shortland,88.12932620784318,11.838636830349822,,,,3.840952469665887
Sydney,60.52264373673096,,,,39.38282134923476,39.98804778660207
Warringah,99.95642398855186,,,,,0.9995642398855186
Watson,100.0,,,,,1.0
Wentworth,99.93532900653442,,,,,0.9993532900653441
Werriwa,94.29693115236046,5.703068847639873,,,,2.3687365234335727
Whitlam,10.387884185583054,89.60057054954504,,,,22.50402147924209
Aston,100.0,,,,,1.0
Ballarat,,99.99989717673812,0.00010282326190137442,,,25.00002570581548
Bendigo,,100.0,,,,25.0
Bruce,100.0,,,,,1.0
Calwell,99.99292996898627,0.007070031013764091,,,,1.0016968074433037
Casey,17.082336463805802,82.9156245242881,0.002039011905694567,,,20.90074900166293
Chisholm,100.0,,,,,1.0
Cooper,100.0,,,,,1.0
Corangamite,9.040735764616741,90.95492197803688,,,,22.829137852155387
Corio,24.183016505632402,75.81467025995721,,,,19.195497730045627
Deakin,100.0,,,,,1.0
Dunkley,99.9970255342815,,,,,0.999970255342815
Flinders,53.48440375751372,26.965082879713485,19.535899883376064,,,17.04406469919154
Fraser,100.0,,,,,1.0
Gellibrand,99.99332757486467,,,,,0.9999332757486467
Gippsland,,13.847230588409623,72.57345672727828,13.578640146843856,,49.93251612087444
Goldstein,99.9961850042982,,,,,0.999961850042982
Gorton,99.9997188678652,0.0002811321348881344,,,,1.000067471712374
Hawke,23.542623082729833,76.45737691727021,,,,19.34977046014485
Higgins,100.0,,,,,1.0
Holt,74.16253057942215,25.835873632962052,,,,7.200593714034735
Hotham,100.0,,,,,1.0
Indi,,42.413918399691006,57.58608160030927,,,39.396520400077385
Isaacs,99.99957455039267,,,,,0.9999957455039267
Jagajaga,99.99492623792791,0.00507376207200694,,,,1.0012177028972808
Kooyong,100.0,,,,,1.0
La Trobe,23.007139451568992,76.99280645470691,,,,19.478273008192417
Lalor,31.71166020565412,68.2882963301622,,,,17.38919068459709
Macnamara,99.6366456970426,,,,,0.9963664569704259
Mallee,,6.891539155826331,79.82857746515323,13.279883379020605,,51.597086055798655
Maribyrnong,100.0,,,,,1.0
McEwen,11.260028756840583,88.73997124315962,,,,22.29759309835831
Melbourne,100.0,,,,,1.0
Menzies,94.81109289379256,5.188907106207313,,,,2.245337705489754
Monash,,78.6951805415548,21.302213214995366,,,30.324901742886382
Nicholls,,94.11950560470646,5.880494395293569,,,26.4701235988234
Scullin,100.0,,,,,1.0
Wannon,,38.05892490016242,61.94091214215965,,,40.48518729612043
Wills,100.0,,,,,1.0
Blair,6.88682484940433,61.65992936598601,31.453245784609337,,,31.210473482295214
Bonner,49.71804466671949,,3.4402415180030834,46.82160419455529,,37.33350435158521
Bowman,39.745441224994686,4.9559808592532635,3.7046863303206097,51.56842875354046,,42.16511435737892
Brisbane,99.99225682425507,,,,,0.9999225682425507
Capricornia,,1.680124797246632,18.620525606967135,62.236178008492324,17.46183410027816,73.86926160944263
Dawson,,1.5996951459640179,70.36356074442438,26.11108883787559,1.9170228332916806,57.08204362040156
Dickson,37.6964489716025,62.30355102839715,,,,15.952852246815313
Fadden,65.89206924946903,34.07780251480913,,,,9.178371321196973
Fairfax,24.97437066967413,75.02395397810992,0.00032206436212768943,,,19.005893233405285
Fisher,13.494256904209955,86.50262934646145,4.537517092213688e-05,,,21.76062259324292
Flynn,,2.3674488806241722,43.69347779745844,47.515744944352456,6.422818370686659,64.49822819783626
Forde,92.81177439583172,7.188225604168114,,,,2.7251741450003455
Griffith,99.97046752868081,,,,,0.9997046752868082
Groom,,95.96693388042615,4.033066119573931,,,26.008266529893504
Herbert,,,91.30576935486651,5.50069830410477,3.1760776677319074,52.95448607324374
Hinkler,,99.82034078269265,0.0001056495860802994,0.17262497270655214,,25.08460674999612
Kennedy,,,2.6947640702556104,10.033747962019742,87.27124063369251,96.14393364033512
Leichhardt,,,0.8889819824004872,7.237389070279784,91.87189035020222,97.7444231441123
Lilley,99.98336690424682,,,,,0.9998336690424682
Longman,40.61017481495067,59.3842267367925,,,,15.252158432347631
Maranoa,,1.232320021242089,6.814793366195658,9.870384877748982,82.08250173481362,93.20076708153371
McPherson,73.13098405519091,26.860112827188992,,,,7.446338047349157
Moncrieff,99.8664721973401,,,,,0.9986647219734011
Moreton,99.99034719732084,,,,,0.9999034719732084
Oxley,99.99112788041022,,,,,0.9999112788041021
Petrie,99.9828350007229,,,,,0.999828350007229
Rankin,100.0,,,,,1.0
Ryan,52.80952719065966,47.1860444124653,,,,12.324606375022922
Wide Bay,0.7855170314593781,56.016129938349515,31.544821157118392,11.650647631476033,,38.5222839570682
Wright,6.208675248616045,93.77755794916071,0.013766802223301186,,,23.513359640887987
Adelaide,100.0,,,,,1.0
Barker,1.5576080983534424e-05,10.943514219358477,68.85879730209125,20.19760763468741,,52.313483087661616
Boothby,99.99930417475241,,,,,0.9999930417475241
Grey,0.005134304847041679,0.49305062216552636,4.381820648681057,11.917613767748474,83.20221409136843,94.45464874011017
Hindmarsh,99.93351646680304,,,,,0.9993351646680304
Kingston,99.99397078879862,0.0037109917191140472,,,,1.0008674558177648
Makin,99.99528321274944,0.004148914208705668,,,,1.000990060679671
Mayo,3.4763890322058386,48.18195959185884,1.600761647477771e-05,48.33765885392275,,48.333505932537065
Spence,70.02720954614065,29.972601458764515,,,,8.193422460152535
Sturt,99.99671893472001,0.0032810652800450463,,,,1.0007874556672114
Brand,91.71867038237752,8.272389767879302,,,,2.985284145793601
Burt,99.99769281964875,0.0023071803512852373,,,,1.0005537232843087
Canning,12.444575714357185,87.55221585015877,0.0013744175039248476,,,22.01318692843523
Cowan,100.0,,,,,1.0
Curtin,99.99258515861014,,,,,0.9999258515861014
Durack,0.005073853780426337,0.4961791725687053,2.26254006980029,4.162178284815779,93.0732354111808,97.45023469137277
Forrest,,95.83024044388672,4.168131840457085,,,26.041626031200224
Fremantle,89.97712256593925,,,9.839940116196614,,8.279726312806853
Hasluck,39.16000822142934,60.839765400212855,,,,15.601541432267506
Moore,99.96255191885794,,,,,0.9996255191885794
O'Connor,,0.34270384025700973,5.850187302150476,10.003837211039226,83.8031864125129,94.31683393193181
Pearce,52.649876601990066,47.35004770881942,,,,12.364010693224754
Perth,99.97056807490227,,,,,0.9997056807490228
Swan,99.98762461737924,,,,,0.9998762461737924
Tangney,99.9780601660857,,,,,0.999780601660857
Bass,,6.555418677518186,68.09732283090128,0.6277516854894192,24.70906815663342,60.86739800558067
Braddon,,0.2260295389537714,33.68775669510014,61.086788888211444,4.993805980441799,67.7092833788889
Clark,,99.98566141469799,0.00011961771774615424,,,24.99647516253337
Franklin,,6.9808969732673045,34.44755296713511,58.56111015074338,,62.889833339941916
Lyons,,3.977307518035204,69.53667953927865,26.48374294408794,,55.62547385721409
Lingiari,,,0.21275350757596329,7.041124509683377,92.74560540760345,98.13282554365396
Solomon,,,98.12804254705284,,,49.06402127352642
Bean,9.410727363923215,88.7019585410053,0.0029105593169313766,,1.8831001556069722,24.154152344155992
Canberra,75.32594176452349,24.67405823547626,,,,6.9217739765143
Fenner,71.71466972684027,28.27891772308957,,,,7.786876128040795
